,Acc,F1,CV,CLF
RP,59.58561472274396,48.2603431791182,9.0,RandomForestClassifier
RP,60.19975474781773,48.32751474094653,9.0,RandomForestClassifier
RP,60.19975474781773,48.32751474094653,9.0,RandomForestClassifier
RP,55.988184196195846,51.9861071075338,9.0,LogisticRegression
RP,56.53940682721047,52.07845274059261,9.0,SVC
RP,59.96389247908878,52.37245155919453,9.0,GaussianNB
thread,59.3007316421766,45.718719238721235,9.0,RandomForestClassifier
W2V,52.75774197568157,47.16400823752173,9.0,RandomForestClassifier
BERT,53.40996957882849,47.76931120485692,9.0,RandomForestClassifier
RPT,59.40986662131407,46.771044311346635,9.0,RandomForestClassifier
RPT + BERT,56.411102646733866,51.82014297539645,9.0,RandomForestClassifier
RP,59.96389247908878,52.37245155919453,9.0,GaussianNB
Thread,59.40490611799649,46.335935491071474,9.0,GaussianNB
W2V,59.440296554790116,54.10692339275219,9.0,GaussianNB
BERT,60.029846053287315,56.7751218703548,9.0,GaussianNB
RPT,59.18856379561199,48.386503127986664,9.0,GaussianNB
RPT + W2V,63.81482580196494,55.70836480696156,9.0,GaussianNB
RPT + BERT,61.619751099496575,57.716725589022104,9.0,GaussianNB
RPT + BERT,63.16014516336257,55.69357306896026,9.0,SVC
RP,56.53940682721047,52.07845274059261,9.0,SVC
BERT,60.753040575253344,52.18951167046351,9.0,SVC
RPT + W2V,62.337889692796495,55.22193313286044,9.0,SVC
W2V,59.48664856363424,52.22898590690602,9.0,SVC
Thread,57.417531531991635,46.71466911958797,9.0,SVC
